linha,coluna,rotulo_coluna,tipo_linha,codigo_cnae,descricao,status_atualizacao,valor_origem,valor_gerado,diferenca,variacao_pct,resultado,motivo
6,Q,Q — Empresa de médio porte,grupo,141,Confecção de artigos do vestuário e acessórios,indisponivel,515,515,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
6,R,R — Grande empresa,grupo,141,Confecção de artigos do vestuário e acessórios,indisponivel,40,40,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
6,S,S — Quantidade de estabelecimentos por porte(RAIS) (Metodologia Sebrae) 2024 / Microempresa,grupo,141,Confecção de artigos do vestuário e acessórios,indisponivel,77357,77357,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2024)
6,T,T — Empresa de pequeno porte,grupo,141,Confecção de artigos do vestuário e acessórios,indisponivel,5285,5285,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2024)
6,U,U — Empresa de médio porte,grupo,141,Confecção de artigos do vestuário e acessórios,indisponivel,510,510,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2024)
6,V,V — Grande empresa,grupo,141,Confecção de artigos do vestuário e acessórios,indisponivel,37,37,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2024)
7,D,D — EMPREGOS / Estoque 2022,grupo,142,Fabricação de artigos de malharia e tricotagem,atualizado,28842,28842,0.0,0.0,identico,
7,E,E — Estoque 2023,grupo,142,Fabricação de artigos de malharia e tricotagem,atualizado,26827,26755,-72.0,-0.2684,divergente,
7,F,F — Estoque 2024,grupo,142,Fabricação de artigos de malharia e tricotagem,atualizado,26353,26255,-98.0,-0.3719,divergente,
7,G,G — Estoque 2025,grupo,142,Fabricação de artigos de malharia e tricotagem,formula_preservada,26320,26215,-105.0,-0.3989,divergente,estoque projetado = coluna F + coluna J
7,H,H — Saldo / 2023 (jan-dez),grupo,142,Fabricação de artigos de malharia e tricotagem,atualizado,-1653,-1653,0.0,0.0,identico,
7,I,I — 2024 (jan-dez),grupo,142,Fabricação de artigos de malharia e tricotagem,atualizado,-643,-643,0.0,0.0,identico,
7,J,J — 2025 (jan-dez),grupo,142,Fabricação de artigos de malharia e tricotagem,atualizado,-33,-40,-7.0,-21.2121,divergente,
7,K,K — Quantidade de estabelecimentos por porte(RAIS) (Metodologia Sebrae) 2022 / Microempresa,grupo,142,Fabricação de artigos de malharia e tricotagem,indisponivel,,,,,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2022)
7,L,L — Empresa de pequeno porte,grupo,142,Fabricação de artigos de malharia e tricotagem,indisponivel,,,,,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2022)
7,M,M — Empresa de médio porte,grupo,142,Fabricação de artigos de malharia e tricotagem,indisponivel,,,,,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2022)
7,N,N — Grande empresa,grupo,142,Fabricação de artigos de malharia e tricotagem,indisponivel,,,,,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2022)
7,O,O — Quantidade de estabelecimentos por porte(RAIS completa) (Metodologia Sebrae) 2023 / Microempresa,grupo,142,Fabricação de artigos de malharia e tricotagem,indisponivel,3240,3240,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
7,P,P — Empresa de pequeno porte,grupo,142,Fabricação de artigos de malharia e tricotagem,indisponivel,217,217,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
7,Q,Q — Empresa de médio porte,grupo,142,Fabricação de artigos de malharia e tricotagem,indisponivel,33,33,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
7,R,R — Grande empresa,grupo,142,Fabricação de artigos de malharia e tricotagem,indisponivel,4,4,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
7,S,S — Quantidade de estabelecimentos por porte(RAIS) (Metodologia Sebrae) 2024 / Microempresa,grupo,142,Fabricação de artigos de malharia e tricotagem,indisponivel,3427,3427,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2024)
7,T,T — Empresa de pequeno porte,grupo,142,Fabricação de artigos de malharia e tricotagem,indisponivel,220,220,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2024)
7,U,U — Empresa de médio porte,grupo,142,Fabricação de artigos de malharia e tricotagem,indisponivel,32,32,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2024)
7,V,V — Grande empresa,grupo,142,Fabricação de artigos de malharia e tricotagem,indisponivel,4,4,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2024)
8,D,D — EMPREGOS / Estoque 2022,grupo,152,Fabricação de artigos para viagem e de artefatos diversos de couro,atualizado,21596,21596,0.0,0.0,identico,
8,E,E — Estoque 2023,grupo,152,Fabricação de artigos para viagem e de artefatos diversos de couro,atualizado,20839,20358,-481.0,-2.3082,divergente,
8,F,F — Estoque 2024,grupo,152,Fabricação de artigos para viagem e de artefatos diversos de couro,atualizado,20774,20186,-588.0,-2.8305,divergente,
8,G,G — Estoque 2025,grupo,152,Fabricação de artigos para viagem e de artefatos diversos de couro,formula_preservada,20600,20010,-590.0,-2.8641,divergente,estoque projetado = coluna F + coluna J
8,H,H — Saldo / 2023 (jan-dez),grupo,152,Fabricação de artigos para viagem e de artefatos diversos de couro,atualizado,-696,-697,-1.0,-0.1437,divergente,
8,I,I — 2024 (jan-dez),grupo,152,Fabricação de artigos para viagem e de artefatos diversos de couro,atualizado,16,16,0.0,0.0,identico,
8,J,J — 2025 (jan-dez),grupo,152,Fabricação de artigos para viagem e de artefatos diversos de couro,atualizado,-174,-176,-2.0,-1.1494,divergente,
8,K,K — Quantidade de estabelecimentos por porte(RAIS) (Metodologia Sebrae) 2022 / Microempresa,grupo,152,Fabricação de artigos para viagem e de artefatos diversos de couro,indisponivel,,,,,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2022)
8,L,L — Empresa de pequeno porte,grupo,152,Fabricação de artigos para viagem e de artefatos diversos de couro,indisponivel,,,,,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2022)
8,M,M — Empresa de médio porte,grupo,152,Fabricação de artigos para viagem e de artefatos diversos de couro,indisponivel,,,,,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2022)
8,N,N — Grande empresa,grupo,152,Fabricação de artigos para viagem e de artefatos diversos de couro,indisponivel,,,,,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2022)
8,O,O — Quantidade de estabelecimentos por porte(RAIS completa) (Metodologia Sebrae) 2023 / Microempresa,grupo,152,Fabricação de artigos para viagem e de artefatos diversos de couro,indisponivel,7013,7013,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
8,P,P — Empresa de pequeno porte,grupo,152,Fabricação de artigos para viagem e de artefatos diversos de couro,indisponivel,251,251,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
8,Q,Q — Empresa de médio porte,grupo,152,Fabricação de artigos para viagem e de artefatos diversos de couro,indisponivel,19,19,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
8,R,R — Grande empresa,grupo,152,Fabricação de artigos para viagem e de artefatos diversos de couro,indisponivel,3,3,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
8,S,S — Quantidade de estabelecimentos por porte(RAIS) (Metodologia Sebrae) 2024 / Microempresa,grupo,152,Fabricação de artigos para viagem e de artefatos diversos de couro,indisponivel,7478,7478,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2024)
8,T,T — Empresa de pequeno porte,grupo,152,Fabricação de artigos para viagem e de artefatos diversos de couro,indisponivel,250,250,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2024)
8,U,U — Empresa de médio porte,grupo,152,Fabricação de artigos para viagem e de artefatos diversos de couro,indisponivel,19,19,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2024)
8,V,V — Grande empresa,grupo,152,Fabricação de artigos para viagem e de artefatos diversos de couro,indisponivel,3,3,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2024)
9,D,D — EMPREGOS / Estoque 2022,grupo,153,Fabricação de calçados,atualizado,277831,277831,0.0,0.0,identico,
9,E,E — Estoque 2023,grupo,153,Fabricação de calçados,atualizado,257304,255390,-1914.0,-0.7439,divergente,
9,F,F — Estoque 2024,grupo,153,Fabricação de calçados,atualizado,254391,252134,-2257.0,-0.8872,divergente,
9,G,G — Estoque 2025,grupo,153,Fabricação de calçados,formula_preservada,251046,248773,-2273.0,-0.9054,divergente,estoque projetado = coluna F + coluna J
9,H,H — Saldo / 2023 (jan-dez),grupo,153,Fabricação de calçados,atualizado,-19300,-19297,3.0,0.0155,divergente,
9,I,I — 2024 (jan-dez),grupo,153,Fabricação de calçados,atualizado,1528,1534,6.0,0.3927,divergente,
9,J,J — 2025 (jan-dez),grupo,153,Fabricação de calçados,atualizado,-3345,-3361,-16.0,-0.4783,divergente,
9,K,K — Quantidade de estabelecimentos por porte(RAIS) (Metodologia Sebrae) 2022 / Microempresa,grupo,153,Fabricação de calçados,indisponivel,,,,,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2022)
